id,group,routs
10202,7,"['rukou', 'qiandao', 'A', 'haibao', 'A', 'haibao', 'qiandao', 'chukou']"
10205,7,"['rukou', 'qiandao', 'zhuhuichang', 'fuwutai', 'haibao', 'A', 'haibao', 'qiandao', 'chukou']"
10214,1,"['rukou', 'qiandao', 'ROOM4', 'zhuhuichang', 'ROOM4', 'zhuhuichang', 'ROOM4', 'zhuhuichang', 'ROOM4', 'zhuhuichang', 'chukou']"
10215,1,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10218,7,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10225,2,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'chukou']"
10228,2,"['rukou', 'qiandao', 'haibao', 'B', 'haibao', 'chukou']"
10231,6,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'ROOM3', 'zhanting', 'zhuhuichang', 'fuwutai', 'chukou']"
10232,0,"['rukou', 'qiandao', 'ROOM5', 'chukou']"
10233,2,"['rukou', 'qiandao', 'haibao', 'chukou']"
10235,2,"['rukou', 'qiandao', 'B', 'haibao', 'qiandao', 'chukou']"
10239,2,"['rukou', 'qiandao', 'zhanting', 'haibao', 'B', 'haibao', 'chukou']"
10252,1,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'xiuxian', 'ROOM3', 'fuwutai', 'xiuxian', 'fuwutai', 'zhuhuichang', 'chukou']"
10256,7,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'fuwutai', 'zhuhuichang', 'chukou']"
10258,7,"['rukou', 'qiandao', 'A', 'chukou']"
10262,7,"['rukou', 'qiandao', 'haibao', 'A', 'haibao', 'A', 'haibao', 'chukou']"
10264,1,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'zhuhuichang', 'ROOM3', 'fuwutai', 'xiuxian', 'chukou']"
10265,6,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'xiuxian', 'zhuhuichang', 'chukou']"
10266,7,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10280,6,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'B', 'haibao', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'chukou']"
10281,5,"['rukou', 'qiandao', 'haibao', 'C', 'haibao', 'A', 'haibao', 'chukou']"
10282,3,"['rukou', 'ROOM2', 'zhuhuichang', 'haibao', 'A', 'zhuhuichang', 'chukou']"
10287,2,"['rukou', 'qiandao', 'haibao', 'B', 'haibao', 'A', 'haibao', 'qiandao', 'chukou']"
10292,1,"['rukou', 'qiandao', 'zhuhuichang', 'B', 'haibao', 'zhuhuichang', 'haibao', 'zhuhuichang', 'chukou']"
10293,7,"['rukou', 'qiandao', 'haibao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10295,1,"['rukou', 'qiandao', 'fuwutai', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10309,4,"['rukou', 'qiandao', 'ROOM6', 'haibao', 'B', 'haibao', 'ROOM6', 'chukou']"
10310,5,"['rukou', 'qiandao', 'fuwutai', 'zhanting', 'haibao', 'C', 'haibao', 'chukou']"
10311,2,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'qiandao', 'chukou']"
10316,5,"['rukou', 'qiandao', 'C', 'haibao', 'chukou']"
10319,1,"['rukou', 'qiandao', 'zhuhuichang', 'chukou']"
10320,7,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10321,7,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10325,1,"['rukou', 'qiandao', 'fuwutai', 'zhuhuichang', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10331,7,"['rukou', 'qiandao', 'haibao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'xiuxian', 'chukou']"
10334,6,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'ROOM3', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'fuwutai', 'chukou']"
10335,2,"['rukou', 'qiandao', 'haibao', 'B', 'haibao', 'xiuxian', 'chukou']"
10339,5,"['rukou', 'qiandao', 'haibao', 'ROOM3', 'zhanting', 'haibao', 'C', 'haibao', 'chukou']"
10345,4,"['rukou', 'ROOM6', 'qiandao', 'ROOM6', 'qiandao', 'chukou']"
10349,1,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10359,5,"['rukou', 'qiandao', 'C', 'haibao', 'chukou']"
10363,2,"['rukou', 'qiandao', 'haibao', 'B', 'haibao', 'chukou']"
10367,7,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'chukou']"
10373,7,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'fuwutai', 'zhuhuichang', 'chukou']"
10374,1,"['rukou', 'qiandao', 'haibao', 'zhanting', 'zhuhuichang', 'ROOM3', 'fuwutai', 'xiuxian', 'haibao', 'fuwutai', 'chukou']"
10375,7,"['rukou', 'qiandao', 'zhuhuichang', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10383,7,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'xiuxian', 'chukou']"
10387,7,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'fuwutai', 'chukou']"
10391,7,"['rukou', 'qiandao', 'A', 'haibao', 'chukou']"
10397,7,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10399,2,"['rukou', 'qiandao', 'B', 'haibao', 'fuwutai', 'chukou']"
10402,1,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10404,1,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10409,0,"['rukou', 'qiandao', 'haibao', 'zhanting', 'ROOM5', 'chukou']"
10415,1,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10418,0,"['rukou', 'qiandao', 'haibao', 'ROOM5', 'fuwutai', 'ROOM3', 'chukou']"
10419,6,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'zhanting', 'chukou']"
10430,7,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'chukou']"
10431,2,"['rukou', 'qiandao', 'zhanting', 'haibao', 'B', 'haibao', 'qiandao', 'chukou']"
10435,7,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'chukou']"
10439,0,"['rukou', 'qiandao', 'ROOM5', 'chukou']"
10440,2,"['rukou', 'qiandao', 'haibao', 'B', 'haibao', 'chukou']"
10452,1,"['rukou', 'qiandao', 'zhuhuichang', 'B', 'haibao', 'ROOM1', 'haibao', 'zhuhuichang', 'chukou']"
10457,2,"['rukou', 'qiandao', 'B', 'haibao', 'chukou']"
10458,7,"['rukou', 'qiandao', 'haibao', 'A', 'chukou']"
10460,2,"['rukou', 'qiandao', 'fuwutai', 'ROOM3', 'zhanting', 'haibao', 'B', 'haibao', 'chukou']"
10462,2,"['rukou', 'qiandao', 'B', 'haibao', 'fuwutai', 'chukou']"
10467,1,"['rukou', 'qiandao', 'zhuhuichang', 'ROOM4', 'zhuhuichang', 'fuwutai', 'ROOM4', 'chukou']"
10469,7,"['rukou', 'qiandao', 'haibao', 'zhanting', 'zhuhuichang', 'ROOM3', 'haibao', 'A', 'haibao', 'chukou']"
10473,7,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10474,7,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'chukou']"
10481,7,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'chukou']"
10483,2,"['rukou', 'qiandao', 'fuwutai', 'zhanting', 'haibao', 'B', 'haibao', 'chukou']"
10484,1,"['rukou', 'qiandao', 'zhuhuichang', 'ROOM1', 'haibao', 'fuwutai', 'zhuhuichang', 'haibao', 'chukou']"
10487,7,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'chukou']"
10488,7,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'fuwutai', 'chukou']"
10492,6,"['rukou', 'qiandao', 'zhuhuichang', 'zhanting', 'chukou']"
10494,1,"['rukou', 'qiandao', 'fuwutai', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10495,6,"['rukou', 'qiandao', 'haibao', 'zhanting', 'ROOM3', 'haibao', 'fuwutai', 'zhuhuichang', 'zhanting', 'chukou']"
10498,2,"['rukou', 'qiandao', 'haibao', 'B', 'haibao', 'xiuxian', 'chukou']"
10500,6,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'zhanting', 'chukou']"
10502,3,"['rukou', 'ROOM2', 'zhuhuichang', 'haibao', 'ROOM2', 'zhuhuichang', 'chukou']"
10508,1,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'zhanting', 'fuwutai', 'chukou']"
10511,2,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'B', 'haibao', 'chukou']"
10512,3,"['rukou', 'ROOM2', 'zhuhuichang', 'ROOM2', 'zhuhuichang', 'chukou']"
10513,2,"['rukou', 'qiandao', 'B', 'haibao', 'A', 'haibao', 'chukou']"
10514,1,"['rukou', 'qiandao', 'fuwutai', 'zhuhuichang', 'haibao', 'B', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10515,7,"['rukou', 'qiandao', 'haibao', 'A', 'haibao', 'A', 'haibao', 'chukou']"
10516,1,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'fuwutai', 'haibao', 'A', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10517,1,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'ROOM1', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'fuwutai', 'chukou']"
10518,6,"['rukou', 'qiandao', 'zhanting', 'fuwutai', 'ROOM3', 'zhuhuichang', 'chukou']"
10522,1,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'fuwutai', 'zhuhuichang', 'fuwutai', 'chukou']"
10526,7,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10528,7,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10530,0,"['rukou', 'qiandao', 'ROOM5', 'chukou']"
10532,7,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10537,5,"['rukou', 'qiandao', 'haibao', 'C', 'haibao', 'chukou']"
10538,2,"['rukou', 'qiandao', 'haibao', 'B', 'haibao', 'chukou']"
10539,7,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'chukou']"
10540,6,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'chukou']"
10545,0,"['rukou', 'qiandao', 'ROOM5', 'ROOM3', 'fuwutai', 'chukou']"
10546,6,"['rukou', 'qiandao', 'zhuhuichang', 'zhanting', 'chukou']"
10561,2,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'qiandao', 'chukou']"
10566,2,"['rukou', 'qiandao', 'haibao', 'B', 'haibao', 'chukou']"
10577,6,"['rukou', 'qiandao', 'haibao', 'zhanting', 'zhuhuichang', 'ROOM1', 'haibao', 'zhuhuichang', 'chukou']"
10603,1,"['rukou', 'qiandao', 'zhuhuichang', 'fuwutai', 'zhuhuichang', 'fuwutai', 'zhanting', 'zhuhuichang', 'fuwutai', 'chukou']"
10615,1,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10625,7,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'fuwutai', 'chukou']"
10630,6,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'ROOM1', 'haibao', 'zhuhuichang', 'chukou']"
10631,2,"['rukou', 'qiandao', 'haibao', 'B', 'haibao', 'zhanting', 'haibao', 'xiuxian', 'chukou']"
10634,0,"['rukou', 'qiandao', 'ROOM5', 'chukou']"
10638,4,"['rukou', 'ROOM6', 'fuwutai', 'ROOM6', 'chukou']"
10643,6,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'chukou']"
10649,1,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10654,2,"['rukou', 'qiandao', 'zhanting', 'haibao', 'B', 'haibao', 'fuwutai', 'chukou']"
10656,1,"['rukou', 'qiandao', 'fuwutai', 'zhuhuichang', 'fuwutai', 'zhanting', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'fuwutai', 'chukou']"
10657,1,"['rukou', 'qiandao', 'haibao', 'fuwutai', 'zhuhuichang', 'fuwutai', 'zhuhuichang', 'fuwutai', 'zhanting', 'ROOM3', 'haibao', 'zhuhuichang', 'chukou']"
10659,6,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'zhanting', 'ROOM3', 'fuwutai', 'xiuxian', 'zhuhuichang', 'fuwutai', 'chukou']"
10660,6,"['rukou', 'qiandao', 'haibao', 'zhanting', 'zhuhuichang', 'xiuxian', 'chukou']"
10661,6,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'xiuxian', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'chukou']"
10662,2,"['rukou', 'qiandao', 'zhanting', 'haibao', 'B', 'haibao', 'chukou']"
10663,2,"['rukou', 'qiandao', 'B', 'haibao', 'chukou']"
10665,5,"['rukou', 'qiandao', 'fuwutai', 'zhanting', 'haibao', 'C', 'haibao', 'chukou']"
10668,3,"['rukou', 'ROOM2', 'zhuhuichang', 'A', 'haibao', 'ROOM2', 'zhuhuichang', 'chukou']"
10669,1,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'zhuhuichang', 'fuwutai', 'zhanting', 'zhuhuichang', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10670,2,"['rukou', 'qiandao', 'haibao', 'B', 'haibao', 'chukou']"
10671,2,"['rukou', 'qiandao', 'B', 'haibao', 'chukou']"
10672,2,"['rukou', 'qiandao', 'B', 'haibao', 'chukou']"
10673,7,"['rukou', 'qiandao', 'haibao', 'A', 'haibao', 'A', 'haibao', 'chukou']"
10683,6,"['rukou', 'qiandao', 'zhanting', 'haibao', 'B', 'haibao', 'zhanting', 'xiuxian', 'chukou']"
10685,6,"['rukou', 'qiandao', 'zhanting', 'chukou']"
10686,7,"['rukou', 'qiandao', 'A', 'haibao', 'chukou']"
10688,5,"['rukou', 'qiandao', 'C', 'haibao', 'B', 'haibao', 'chukou']"
10698,1,"['rukou', 'qiandao', 'zhuhuichang', 'B', 'haibao', 'zhuhuichang', 'fuwutai', 'ROOM1', 'zhuhuichang', 'chukou']"
10705,4,"['rukou', 'qiandao', 'ROOM6', 'chukou']"
10707,2,"['rukou', 'qiandao', 'zhanting', 'haibao', 'B', 'haibao', 'chukou']"
10708,6,"['rukou', 'qiandao', 'zhanting', 'haibao', 'zhuhuichang', 'fuwutai', 'zhanting', 'ROOM3', 'haibao', 'zhanting', 'chukou']"
10711,7,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10713,7,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'xiuxian', 'chukou']"
10719,5,"['rukou', 'qiandao', 'C', 'haibao', 'chukou']"
10720,5,"['rukou', 'qiandao', 'fuwutai', 'haibao', 'C', 'haibao', 'chukou']"
10722,2,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'B', 'haibao', 'chukou']"
10725,1,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'fuwutai', 'chukou']"
10726,7,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'chukou']"
10732,7,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10737,6,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'zhanting', 'zhuhuichang', 'chukou']"
10740,6,"['rukou', 'qiandao', 'zhuhuichang', 'ROOM3', 'chukou']"
10744,0,"['rukou', 'qiandao', 'ROOM5', 'chukou']"
10748,7,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'chukou']"
10750,7,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10754,5,"['rukou', 'qiandao', 'C', 'haibao', 'chukou']"
10756,7,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'chukou']"
10757,6,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'xiuxian', 'zhuhuichang', 'chukou']"
10760,2,"['rukou', 'qiandao', 'B', 'haibao', 'chukou']"
10761,1,"['rukou', 'qiandao', 'zhuhuichang', 'chukou']"
10762,4,"['rukou', 'ROOM6', 'fuwutai', 'ROOM6', 'fuwutai', 'chukou']"
10774,6,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'xiuxian', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'fuwutai', 'chukou']"
10777,1,"['rukou', 'qiandao', 'fuwutai', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10778,7,"['rukou', 'qiandao', 'zhanting', 'fuwutai', 'zhuhuichang', 'haibao', 'A', 'haibao', 'xiuxian', 'chukou']"
10780,0,"['rukou', 'qiandao', 'haibao', 'ROOM5', 'fuwutai', 'ROOM3', 'fuwutai', 'ROOM5', 'chukou']"
10785,7,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'fuwutai', 'zhuhuichang', 'chukou']"
10790,5,"['rukou', 'qiandao', 'haibao', 'C', 'haibao', 'A', 'haibao', 'chukou']"
10794,2,"['rukou', 'qiandao', 'haibao', 'A', 'haibao', 'B', 'haibao', 'chukou']"
10796,5,"['rukou', 'qiandao', 'fuwutai', 'zhanting', 'haibao', 'C', 'haibao', 'chukou']"
10797,5,"['rukou', 'qiandao', 'C', 'haibao', 'qiandao', 'chukou']"
10801,0,"['rukou', 'qiandao', 'zhanting', 'ROOM5', 'ROOM3', 'chukou']"
